year,county,facilityType,vmt,laneMiles,minElast,maxElast
2016,Watonwan,Principal Arterial,80194289,133,0.7,1
2016,Wilkin,Interstate,63864247,45,0.7,1
2016,Wilkin,Local,18831112,1855,0.3,0.5
2016,Wilkin,Major Collector,21397480,271,0.5,0.7
2016,Wilkin,Minor Arterial,37164866,203,0.5,0.7
2016,Wilkin,Minor Collector,6866937,258,0.5,0.7
2016,Wilkin,Principal Arterial,20601513,32,0.7,1
2016,Winona,Interstate,219742542,176,0.7,1
2016,Winona,Local,59071464,1507,0.3,0.5
2016,Winona,Major Collector,65886894,342,0.5,0.7
2016,Winona,Minor Arterial,110494951,140,0.5,0.7
2016,Winona,Minor Collector,23129385,280,0.5,0.7
2016,Winona,Principal Arterial,131160615,155,0.7,1
2016,Wright,Interstate,521874811,108,0.7,1
2016,Wright,Local,162258305,2747,0.3,0.5
2016,Wright,Major Collector,256013764,512,0.5,0.7
2016,Wright,Minor Arterial,290875097,258,0.5,0.7
2016,Wright,Minor Collector,82012476,468,0.5,0.7
2016,Wright,Principal Arterial,296062380,133,0.7,1
2016,Yellow Medicine,Local,27530281,2131,0.3,0.5
2016,Yellow Medicine,Major Collector,29181338,357,0.5,0.7
2016,Yellow Medicine,Minor Arterial,40451604,205,0.5,0.7
2016,Yellow Medicine,Minor Collector,9433107,248,0.5,0.7
2016,Yellow Medicine,Principal Arterial,35619694,59,0.7,1
2017,Aitkin,Local,22981201,2160,0.3,0.5
2017,Aitkin,Major Collector,34108538,421,0.5,0.7
2017,Aitkin,Minor Arterial,86759762,309,0.5,0.7
2017,Aitkin,Minor Collector,9907410,384,0.5,0.7
2017,Aitkin,Principal Arterial,109637819,179,0.7,1
2017,Anoka,Freeway/Expressway,429863612,73,0.7,1
2017,Anoka,Interstate,530057380,105,0.7,1
